Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Isoprenoid Metabolic Process (GO:0006720),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,PLPP6;PHYH;MVK;PDSS2;MVD;PDSS1;HMGCR
GO_Biological_Process_2023,Membrane Lipid Catabolic Process (GO:0046466),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,SMPD2;SGPL1;FUCA1;PPT1;MGST2;NAGA;SMPDL3B
GO_Biological_Process_2023,Mitochondrial Fragmentation Involved In Apoptotic Process (GO:0043653),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,FIS1;BNIP3;BAX;VPS35;DNM1L;MFF;CCAR2
GO_Biological_Process_2023,"Negative Regulation Of Retrograde Protein Transport, ER To Cytosol (GO:1904153)",7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,ERLEC1;OS9;DERL3;UBE2G2;SVIP;UBAC2;UBE2J1
GO_Biological_Process_2023,Peroxisomal Transport (GO:0043574),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,PEX16;PEX19;PEX6;ZFAND6;LONP2;HACL1;PEX1
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Calcium Ion Concentration (GO:0051561),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,BCAP31;FIS1;MCUR1;RAP1GDS1;MICU1;MCU;TGM2
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,CDC20;FZR1;UBE2C;UBE2S;PLK1;PTEN;CDC14B
GO_Biological_Process_2023,Proteasome Assembly (GO:0043248),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,PSMD10;PSMD9;PSMD11;PSMD5;OTUD6B;PSMG1;PSMG2
GO_Biological_Process_2023,Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903069),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,USP14;CAV1;SGTA;UBQLN1;SVIP;HERPUD1;NFE2L2
GO_Biological_Process_2023,Regulation Of Sterol Biosynthetic Process (GO:0106118),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,SEC14L2;MBTPS1;AQP8;LPCAT3;ERLIN1;ERLIN2;MBTPS2
