group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Top villous SI,Dyrk2,93.14944,1.9384165,0.0,0.0,0.7932424494095246,0.5321728759654702
Top villous SI,Gnai3,93.03992,2.3324409,0.0,0.0,0.9046326493406527,0.7019536574284416
Top villous SI,Prxl2a,92.95733,5.1729403,0.0,0.0,0.9060708570502563,0.6673387096774194
Top villous SI,Tmem140,92.938576,2.9061458,0.0,0.0,0.5453440557457411,0.20607110404361653
Top villous SI,Aldh3a2,92.83763,2.276637,0.0,0.0,0.91382907610347,0.6793786915038619
Top villous SI,Saraf,92.74986,2.0700505,0.0,0.0,0.8758482387019669,0.6371535665606542
Top villous SI,Gm42418,92.70271,16.346643,0.0,0.0,0.9707091781959609,0.8881758291685597
Top villous SI,Lratd1,92.551674,2.77981,0.0,0.0,0.558834849190755,0.22927078600636075
Top villous SI,Adprm,92.545815,2.121584,0.0,0.0,0.6437296169505945,0.32297819173103137
Top villous SI,Gnb1,92.47911,5.883912,0.0,0.0,0.9947535803269391,0.9400556565197637
Top villous SI,Gchfr,92.472336,2.2922978,0.0,0.0,0.8500820386087873,0.5603702862335302
Top villous SI,Entpd5,92.31886,2.419384,0.0,0.0,0.9085016306439524,0.663391640163562
Top villous SI,Myh14,92.310684,3.5320098,0.0,0.0,0.9800879129783053,0.8862732848705134
Top villous SI,Cxcl16,92.250694,2.049789,0.0,0.0,0.6690704316648773,0.3548387096774194
Top villous SI,Abcg2,92.14327,2.3883023,0.0,0.0,0.8908380091964267,0.651947978191731
Top villous SI,Cdr2,92.04466,2.3614774,0.0,0.0,0.8559564081268863,0.583740345297592
Top villous SI,Arpc2,91.97661,3.397096,0.0,0.0,0.966070451921324,0.8179236710586097
Top villous SI,Gng5,91.94842,7.146314,0.0,0.0,0.9812425304353111,0.8571671967287596
Top villous SI,Hdlbp,91.9277,2.890269,0.0,0.0,0.9645107055320356,0.8391356201726488
Top villous SI,Cast,91.86392,2.2413242,0.0,0.0,0.8217635262422266,0.5953827805542935
Top villous SI,Osgin1,91.756256,1.889864,0.0,0.0,0.7917839852533068,0.504060654248069
Top villous SI,Ceacam1,91.670555,2.096565,0.0,0.0,0.7598800818360443,0.49409359382099044
Top villous SI,Arfgap3,91.503716,2.0705512,0.0,0.0,0.8515607592116191,0.6140958655156747
Top villous SI,Bcar3,91.49176,1.8833474,0.0,0.0,0.8140660765288553,0.5577294411631076
Top villous SI,Guca2b,91.43949,39.488064,0.0,0.0,0.9999392306601576,0.9857735120399819
Top villous SI,Pdcd6ip,91.3986,2.2851198,0.0,0.0,0.9227216561670751,0.7563323489323035
Top villous SI,Lpgat1,91.31051,3.888376,0.0,0.0,0.9374278364089371,0.7465640617900954
Top villous SI,Slc7a9,91.30474,3.8463566,0.0,0.0,0.9704458443899772,0.806366424352567
Top villous SI,Clic1,91.1834,4.303043,0.0,0.0,0.9512832458930055,0.8312414811449341
